티타임을위하여착한사람문성현열린사회와그적들눈사람속의검은항아리씨앗불목마른계절술먹고담배피우는엄마목련꽃그늘아래서	소설/시/희곡
57	인도네시아페칼롱간의바틱박물관과공동수행하는초중고등학교직업학교기술전문학교학생들에대한바틱무형문화유산교육및훈련	유네스코 유산
53	우리다투게돼도이것만기억해줄래눈을맞추고서로가서로의손잡아주며낮은목소리와예쁜말투로상처주지않게노력을하고	한국 대중음악
47	아가씨돌보기영애들이다니는명문학교에서제일가는아가씨생활력없음를남몰래돕는시중담당이되었습니다	라이트 노벨
47	전홈센터점원의이세계생활칭호디아이와이마스터그린마스터펫마스터를구사하여이세계를마음대로삽니다	만화/애니메이션
47	현역프로미소녀라이트노벨작가가알려드립니다라이트노벨을읽는것도즐겁지만써보면더즐거울지도몰라요	라이트 노벨
45	최강찌꺼기황자의암약제위쟁탈전무능한척연기하는에스에스랭크황자는황위계승전을남몰래지배한다	라이트 노벨
43	너따위가마왕을이길수있다고생각하지마라며용사파티에서추방되었으니왕도에서멋대로살고싶다	라이트 노벨
43	물주전자용사의복수담물을끓이는능력밖에없는용사지만모든것을빼앗아간너희를죽이는덴충분해	만화/애니메이션
43	젊은이들의흑마법기피가심각합니다만취직해보니대우도좋고사장도사역마도귀여워서최고입니다	라이트 노벨
42	사랑하긴했었나요스쳐가는인연이었나요짧지않은우리함께했던시간들이자꾸내마음을가둬두네	한국 대중음악
42	월500을받아도사는보람이없는옆집누나에게300에고용돼서어서와라고말하는일이즐겁다	라이트 노벨
41	뉴어벤저스일루미나티아이언맨닥터스트레인지네이머미스터판타스틱프로페서엑스블랙볼트	만화/애니메이션
41	만화로배우는재무회계영어컴퓨터보다중요한재무회계입문서회사의현금흐름이한눈에보인다	만화/애니메이션
41	인기라이트노벨작가인남고생이연하의클래스메이트이자성우인여자아이에게목을졸리고있다	라이트 노벨
41	한여름밤의꿈베니스의상인말괄량이길들이기안토니와클레오파트라줄리어스시저리처드3세	소설/시/희곡
40	에스랭크몬스터베헤모스지만고양이라고착각하길래엘프소녀의기사애완묘로살고있습니다	라이트 노벨
40	이세계에서펜션을시작했습니다세계유일의흑마녀입니다만이힘은고객님을위해쓰겠습니다	만화/애니메이션
40	진정한동료가아니라고용사파티에서쫓겨났기때문에변경에서슬로우라이프하기로했습니다	만화/애니메이션
39	눈을떴더니최강무장과우주선을가지고있어서집한채를목표로용병으로자유롭게살고싶다	만화/애니메이션
39	마왕을쓰러뜨린나를기다리고있던건돌봐주기좋아하는신부와의꽁냥꽁냥연금생활이었다	라이트 노벨
39	매지컬익스플로러에로게임의친구캐릭터로전생했지만게임지식을써서자유롭게살아간다	라이트 노벨
38	여자끼리라니말도안된다고주장하는여자애를백일동안철저하게함락시키는백합이야기	라이트 노벨
37	시녀이야기그래픽노블2019부커상수상작가마거릿애트우드의대표작그래픽노블	만화/애니메이션
37	전학간학교의청순가련한미소녀가옛날에남자라고생각해서같이놀던소꿉친구였던일	만화/애니메이션
37	진실한사랑을찾았다는이유로혼약파기당했으니이제와되돌리자고해도너무늦었어요	만화/애니메이션
36	성녀용사파티에서해고당해길드를만들었더니내집같은최강의길드로성장했습니다	만화/애니메이션, 웹툰
36	얼음후작님에게응석을부리고싶어시리어스전개밖에없는유녀로전생한나의분투기	만화/애니메이션, 웹툰
36	이세계에구세주로소환되었지만30대에게는버거워서남몰래북카페를열었습니다	만화/애니메이션
36	추방자식당에어서오세요최강파티에서추방당한요리사는모험자식당을개업합니다	웹툰
35	살아남은자들이경험하는방식541죽는방법541에대한반론얀마텔육육육오	소설/시/희곡
35	안중근의사유묵동양대세사묘현유지남아기안면화국미성유강계정략부개진가련	국가지정문화재
35	여성향게임의파멸플래그밖에없는악역영애로환생해버렸다절체절명파멸직전편	만화/애니메이션
35	즉사치트가너무최강이라이세계녀석들이전혀상대가되지않습니다만알파오메가	웹툰
34	가면라이더뉴제네레이션닥터팩맨대이그제이드앤드고스트위드레전드라이더	만화/애니메이션
34	만약고교야구여자매니저가피터드러커를읽는다면이노베이션과기업가정신편	소설/시/희곡
34	소꿉친구의에스급파티에서추방된성수사만능지원마법과동료를늘려최강으로	만화/애니메이션
34	이하응초상일괄흑단령포본금관조복본와룡관학창의본흑건청포본복건심의본	국가지정문화재
34	학교에서내가문제가있다고한다엄마모시고오라고한다우리엄마가출했는데요	뮤지컬/연극
33	마왕학원의부적합자사상최강의마왕인시조전생해서자손들의학교에다니다	만화/애니메이션
33	모험가자격을박탈당한아저씨지만사랑하는딸이생겨서느긋이인생을즐긴다	라이트 노벨
33	악덕기사단의노예가착한모험가길드에스카우트되어에스랭크가되었습니다	라이트 노벨
33	언제나쌀쌀맞게구는소꿉친구지만나를짝사랑하는속마음이다들려서귀여워	라이트 노벨
33	여자라는이유로파티에서추방당해서전설의마녀와최강태그를결성했습니다	라이트 노벨
33	용사님의소꿉친구라는직업의패배히로인으로전생해서조합사로전직합니다	만화/애니메이션
32	극장판파워레인저다이노포스대고버스터즈공룡대결전안녕영원한친구여	만화/애니메이션, 영화
32	극장판포켓몬스터디피다이아몬드앤드펄기라티나와하늘의꽃다발쉐이미	만화/애니메이션, 포켓몬스터
32	던전에서만남을추구하면안되는걸까파밀리아크로니클에피소드프레이야	만화/애니메이션
32	브이알에로게임을하다가이세계에전생했으니미소녀마왕을노예로삼는다	라이트 노벨
32	빈곤영애의혼약소동차기공작님은혼약자에게사랑받기위해필사적입니다	만화/애니메이션
32	슬라임을잡으면서300년모르는사이에레벨맥스가되었습니다스핀오프	라이트 노벨
32	여기는내게맡기고먼저가라고말한지10년이지났더니전설이되어있었다	웹툰
32	우리딸을위해서라면나는마왕도쓰러뜨릴수있을지몰라드라마시디특별판	라이트 노벨
32	이제일하고싶지않습니다이제와서잘해줄테니돌아오라고해도거절합니다	라이트 노벨
32	자칭에프랭크오라버니가게임으로평가받는학원의정점에군림한다는데요	라이트 노벨
32	한국고전문학전집35적벽가강릉매화타령배비장전무숙이타령옹고집전	소설/시/희곡
32	합천해인사원당암목조아미타여래삼존상복장전적대방광불화엄경정원본	국가지정문화재
31	가면라이더뉴제네레이션파이널빌드앤드이그제이드위드레전드라이더	만화/애니메이션
31	극장판열차변형로봇신카리온디애니메이션미래에서온초고속알파엑스	만화/애니메이션
31	다를뿐이지이상한게아니야케이비에스어린이독서왕선정도서34학년	소설/시/희곡
31	던전에서만남을추구하면안되는걸까외전파밀리아크로니클에피소드류	만화/애니메이션
31	뚜르드라무지크미식이있는세계음악여행뮤지컬시티런던에서뉴욕까지	뮤지컬/연극
31	맞선보고싶지않아서억지스러운조건을달았더니동급생이온일에대해서	라이트 노벨
31	설특집2018아이돌스타육상볼링양궁리듬체조에어로빅선수권대회	국내 방송 프로그램
31	술을위해여성향게임설정을비튼결과악역영애가치트영애가되었습니다	만화/애니메이션
31	아싸인내게벌칙게임으로고백해온갸루가아무리봐도나한테반한것같다	라이트 노벨
31	옆집에사는제자와결혼하고싶은데어떻게해야오케이를받을수있을까요	라이트 노벨
31	이천십구무크랜드만화로쉽게배우는왕초보공인중개사1차만화기초서	만화/애니메이션
31	이천십구설특집아이돌스타육상볼링양궁리듬체조승부차기선수권대회	국내 방송 프로그램
31	코믹예를들어라스트던전앞마을의소년이초반마을에서사는듯한이야기	만화/애니메이션
31	탐정진구지사부로프리퀄스토리다이달로스디어웨이크닝오브골든재즈	비디오 게임
31	합천해인사원당암목조아미타여래삼존상복장전적대방광불화엄경진본	국가지정문화재
30	그리하여우리는누군가의별이되고그리하여우리는누군가의꽃이된다	소설/시/희곡
30	그랜드힐튼과함께하는시크릿쥬쥬앤드콩순이크리스마스갈라콘서트	뮤지컬/연극
30	금장의벨메이유벼랑끝마술사는최강의재액과마법세계를헤쳐나간다	만화/애니메이션
30	내인생마지막사점오초도시의향기병신손가락제망매내여자의열매외	소설/시/희곡
30	뉴서울대선정인문고전60선42니체차라투스트라는이렇게말했다	만화/애니메이션
30	마왕입니다여용사의어머니와재혼해서여용사가의붓딸이되었습니다	만화/애니메이션
30	만화대학교수고위공무원의1년연수안식년새배티컬잘다녀오는방법	만화/애니메이션
30	여성향게임의파멸플래그밖에없는악역영애로환생해버렸다걸스패치	만화/애니메이션
30	즉사치트가너무최강이라이세계녀석들이전혀상대가되지않습니다만	라이트 노벨
30	천하무적포도나무집풍경인간에대한예의살아있는무덤광주로가는길	소설/시/희곡
30	푸른사과가있는국도블랙러시안리기다소나무숲에갔다가곰팡이꽃외
acrylonitrilebutadienestyrene	-
25	antiestablishmentarianism	-
23	alphamethylthiofentanyl	화학
21	arenariamelanocephala	동물
21	alkylbenzenesulfonate	-
20	antiestablishmentism	-
20	abetalipoproteinemia	-
20	adrenocorticotrophic	-
20	adrenocorticotrophin	인체
19	adrenocorticotropic	-
19	adrenocorticotropin	인체
19	auriculoventricular	-
18	adenocarcinomatous	-
18	agammaglobulinemia	-
18	antiferromagnetism	-
18	anticholinesterase	-
18	anthropocentricity	-
18	arteriolosclerosis	-
17	alphaadrenoceptor	인체
17	antiferromagnetic	-
17	antiauthoritarian	-
17	anachronistically	-
17	australopithecine	동물
16	absentmindedness	-
16	anthropomorphism	-
16	anthropomorphous	-
16	anthropomorphise	-
16	anthropomorphize	-
16	advantageousness	-
16	acquaintanceship	-
16	alcoholdependent	-
16	actinomycetaceae	동물
16	abdominocentesis	-
16	ambidextrousness	-
16	anathematisation	-
16	anathematization	-
16	ancylostomatidae	동물
16	aminotransferase	-
16	alstroemeriaceae	식물
16	anglocatholicism	-
16	anthropometrical	-
16	antiinflammatory	-
16	apprehensiveness	감정
16	autofluorescence	-
16	autobiographical	-
16	autoradiographic	-
16	appreciativeness	감정
16	antiredeposition	-
16	antihypertensive	-
16	alphalipoprotein	-
16	australopithecus	동물
16	authoritarianism	-
16	affectionateness	감정
16	atrichornithidae	동물
16	atrioventricular	-
16	administratively	-
16	attentiongetting	-
16	anesthesiologist	사람
16	aristolochiaceae	식물
16	antagonistically	기타
16	arteriosclerosis	-
16	arteriosclerotic	-
16	antiintellectual	사람
16	aristocratically	-
12	aciculignosa	Deemo
[b]
글자 수	단어	주제
20	buckminsterfullerene	-
19	bacteriochlorophyll	동물
19	benzisothiazolinone	화학
19	bendroflumethiazide	화학
19	ballistocardiograph	-
18	ballistocardiogram	-
18	bicyclebuiltfortwo	-
17	batrachomyomachia	-
17	beggarmyneighbour	-
17	bosniaherzegovina	지명
17	branchiobdellidae	동물
17	brokenheartedness	감정
16	benzothiadiazine	화학
16	beggarmyneighbor	-
16	benzylpenicillin	-
16	bronchopneumonia	-
16	brownishspeckled	-
16	bureaucratically	-
10	bismuthine	화학
[c]
글자 수	단어	주제
30	chlorobenzylidenemalononitrile	-
21	constructivemetabolic	-
20	compartmentalisation	-
20	compartmentalization	-
20	counterdemonstration	-
20	counterrevolutionary	사람
20	counterrevolutionist	사람
19	cartilaginification	-
19	chromatographically	-
19	chromoblastomycosis	-
19	contemporaneousness	-
19	conventionalisation	-
19	conventionalization	-
19	corticohypothalamic	-
19	counterdemonstrator	사람
19	counterintelligence	-
19	countertransference	-
19	crossclassification	-
19	crosslinguistically	-
19	cytophotometrically	-
11	carboplatin	화학
자세히 알아보기
끄투
끄코
위키
[d]
글자 수	단어	주제
31	dichlorodiphenyltrichloroethane	-
22	dihydroxyphenylalanine	-
20	destructivemetabolic	-
19	diethylstilbesterol	-
19	diethylstilboestrol	-
19	dihydrostreptomycin	-
18	diethylmalonylurea	-
18	diethylstilbestrol	-
18	disenfranchisement	-
18	disproportionately	-
18	drunkanddisorderly	사람
16	dimethylglyoxime	-
16	discombobulation	감정
15	discombobulated	-
15	downwardarching	-
15	downwardsloping	-
15	dimethylmercury	화학
15	diphenylmercury	화학
15	diisopropylzinc	화학
15	disappointingly	-
14	disappointedly	-
